ArrayType,Size,Algorithm,TimeMicroseconds,Threshold
Reversed,8800,HybridSort,1071,50
AlmostSorted,8800,HybridSort,484,50
Random,8900,MergeSort,2494,0
Reversed,8900,MergeSort,1865,0
AlmostSorted,8900,MergeSort,1662,0
Random,8900,HybridSort,1771,5
Reversed,8900,HybridSort,999,5
AlmostSorted,8900,HybridSort,760,5
Random,8900,HybridSort,1219,10
Reversed,8900,HybridSort,794,10
AlmostSorted,8900,HybridSort,684,10
Random,8900,HybridSort,1165,20
Reversed,8900,HybridSort,1299,20
AlmostSorted,8900,HybridSort,610,20
Random,8900,HybridSort,1174,30
Reversed,8900,HybridSort,799,30
AlmostSorted,8900,HybridSort,625,30
Random,8900,HybridSort,1197,50
Reversed,8900,HybridSort,934,50
AlmostSorted,8900,HybridSort,966,50
Random,9000,MergeSort,2869,0
Reversed,9000,MergeSort,1723,0
AlmostSorted,9000,MergeSort,2448,0
Random,9000,HybridSort,2036,5
Reversed,9000,HybridSort,930,5
AlmostSorted,9000,HybridSort,889,5
Random,9000,HybridSort,1347,10
Reversed,9000,HybridSort,1466,10
AlmostSorted,9000,HybridSort,727,10
Random,9000,HybridSort,1310,20
Reversed,9000,HybridSort,886,20
AlmostSorted,9000,HybridSort,523,20
Random,9000,HybridSort,1125,30
Reversed,9000,HybridSort,767,30
AlmostSorted,9000,HybridSort,512,30
Random,9000,HybridSort,1087,50
Reversed,9000,HybridSort,959,50
AlmostSorted,9000,HybridSort,427,50
Random,9100,MergeSort,2221,0
Reversed,9100,MergeSort,1575,0
AlmostSorted,9100,MergeSort,1701,0
Random,9100,HybridSort,1723,5
Reversed,9100,HybridSort,894,5
AlmostSorted,9100,HybridSort,826,5
Random,9100,HybridSort,1247,10
Reversed,9100,HybridSort,802,10
AlmostSorted,9100,HybridSort,1109,10
Random,9100,HybridSort,1577,20
Reversed,9100,HybridSort,930,20
AlmostSorted,9100,HybridSort,530,20
Random,9100,HybridSort,1189,30
Reversed,9100,HybridSort,751,30
AlmostSorted,9100,HybridSort,573,30
Random,9100,HybridSort,1057,50
Reversed,9100,HybridSort,860,50
AlmostSorted,9100,HybridSort,564,50
Random,9200,MergeSort,2273,0
Reversed,9200,MergeSort,1663,0
AlmostSorted,9200,MergeSort,1775,0
Random,9200,HybridSort,1705,5
Reversed,9200,HybridSort,1004,5
AlmostSorted,9200,HybridSort,895,5
Random,9200,HybridSort,1338,10
Reversed,9200,HybridSort,953,10
AlmostSorted,9200,HybridSort,703,10
Random,9200,HybridSort,1324,20
Reversed,9200,HybridSort,830,20
AlmostSorted,9200,HybridSort,581,20
Random,9200,HybridSort,1215,30
Reversed,9200,HybridSort,839,30
AlmostSorted,9200,HybridSort,567,30
Random,9200,HybridSort,1328,50
Reversed,9200,HybridSort,1112,50
AlmostSorted,9200,HybridSort,448,50
Random,9300,MergeSort,2359,0
Reversed,9300,MergeSort,1659,0
AlmostSorted,9300,MergeSort,1888,0
Random,9300,HybridSort,1666,5
Reversed,9300,HybridSort,991,5
AlmostSorted,9300,HybridSort,932,5
Random,9300,HybridSort,1440,10
Reversed,9300,HybridSort,832,10
AlmostSorted,9300,HybridSort,877,10
Random,9300,HybridSort,1265,20
Reversed,9300,HybridSort,854,20
AlmostSorted,9300,HybridSort,575,20
Random,9300,HybridSort,1174,30
Reversed,9300,HybridSort,836,30
AlmostSorted,9300,HybridSort,517,30
Random,9300,HybridSort,1584,50
Reversed,9300,HybridSort,926,50
AlmostSorted,9300,HybridSort,433,50
Random,9400,MergeSort,2433,0
Reversed,9400,MergeSort,1721,0
AlmostSorted,9400,MergeSort,2402,0
Random,9400,HybridSort,1622,5
Reversed,9400,HybridSort,994,5
AlmostSorted,9400,HybridSort,921,5
Random,9400,HybridSort,1904,10
Reversed,9400,HybridSort,1335,10
AlmostSorted,9400,HybridSort,760,10
Random,9400,HybridSort,1264,20
Reversed,9400,HybridSort,865,20
AlmostSorted,9400,HybridSort,619,20
Random,9400,HybridSort,1295,30
Reversed,9400,HybridSort,1368,30
AlmostSorted,9400,HybridSort,996,30
Random,9400,HybridSort,1250,50
Reversed,9400,HybridSort,1074,50
AlmostSorted,9400,HybridSort,486,50
Random,9500,MergeSort,3450,0
Reversed,9500,MergeSort,1796,0
AlmostSorted,9500,MergeSort,1951,0
Random,9500,HybridSort,1616,5
Reversed,9500,HybridSort,943,5
AlmostSorted,9500,HybridSort,905,5
Random,9500,HybridSort,1426,10
Reversed,9500,HybridSort,742,10
AlmostSorted,9500,HybridSort,650,10
Random,9500,HybridSort,1333,20
Reversed,9500,HybridSort,865,20
AlmostSorted,9500,HybridSort,574,20
Random,9500,HybridSort,1227,30
Reversed,9500,HybridSort,823,30
AlmostSorted,9500,HybridSort,537,30
Random,9500,HybridSort,1186,50
Reversed,9500,HybridSort,989,50
AlmostSorted,9500,HybridSort,460,50
Random,9600,MergeSort,2518,0
Reversed,9600,MergeSort,1779,0
AlmostSorted,9600,MergeSort,1823,0
Random,9600,HybridSort,1677,5
Reversed,9600,HybridSort,1068,5
AlmostSorted,9600,HybridSort,1377,5
Random,9600,HybridSort,1304,10
Reversed,9600,HybridSort,765,10
AlmostSorted,9600,HybridSort,657,10
Random,9600,HybridSort,1648,20
Reversed,9600,HybridSort,821,20
AlmostSorted,9600,HybridSort,1031,20
Random,9600,HybridSort,1243,30
Reversed,9600,HybridSort,868,30
AlmostSorted,9600,HybridSort,601,30
Random,9600,HybridSort,1327,50
Reversed,9600,HybridSort,1486,50
AlmostSorted,9600,HybridSort,522,50
Random,9700,MergeSort,2754,0
Reversed,9700,MergeSort,1829,0
AlmostSorted,9700,MergeSort,1697,0
Random,9700,HybridSort,1431,5
Reversed,9700,HybridSort,867,5
AlmostSorted,9700,HybridSort,814,5
Random,9700,HybridSort,1352,10
Reversed,9700,HybridSort,874,10
AlmostSorted,9700,HybridSort,730,10
Random,9700,HybridSort,1285,20
Reversed,9700,HybridSort,878,20
AlmostSorted,9700,HybridSort,596,20
Random,9700,HybridSort,1491,30
Reversed,9700,HybridSort,894,30
AlmostSorted,9700,HybridSort,639,30
Random,9700,HybridSort,1292,50
Reversed,9700,HybridSort,1029,50
AlmostSorted,9700,HybridSort,494,50
Random,9800,MergeSort,2579,0
Reversed,9800,MergeSort,1825,0
AlmostSorted,9800,MergeSort,1868,0
Random,9800,HybridSort,1656,5
Reversed,9800,HybridSort,1126,5
AlmostSorted,9800,HybridSort,1037,5
Random,9800,HybridSort,1508,10
Reversed,9800,HybridSort,963,10
AlmostSorted,9800,HybridSort,725,10
Random,9800,HybridSort,1208,20
Reversed,9800,HybridSort,860,20
AlmostSorted,9800,HybridSort,633,20
Random,9800,HybridSort,1291,30
Reversed,9800,HybridSort,856,30
AlmostSorted,9800,HybridSort,633,30
Random,9800,HybridSort,1283,50
Reversed,9800,HybridSort,1148,50
AlmostSorted,9800,HybridSort,577,50
Random,9900,MergeSort,2733,0
Reversed,9900,MergeSort,2224,0
AlmostSorted,9900,MergeSort,1895,0
Random,9900,HybridSort,1654,5
Reversed,9900,HybridSort,1000,5
AlmostSorted,9900,HybridSort,937,5
Random,9900,HybridSort,1475,10
Reversed,9900,HybridSort,882,10
AlmostSorted,9900,HybridSort,748,10
Random,9900,HybridSort,1312,20
Reversed,9900,HybridSort,972,20
AlmostSorted,9900,HybridSort,620,20
Random,9900,HybridSort,1390,30
Reversed,9900,HybridSort,924,30
AlmostSorted,9900,HybridSort,872,30
Random,9900,HybridSort,1349,50
Reversed,9900,HybridSort,963,50
AlmostSorted,9900,HybridSort,464,50
Random,10000,MergeSort,2796,0
Reversed,10000,MergeSort,1684,0
AlmostSorted,10000,MergeSort,2278,0
Random,10000,HybridSort,2236,5
Reversed,10000,HybridSort,1024,5
AlmostSorted,10000,HybridSort,995,5
Random,10000,HybridSort,1475,10
Reversed,10000,HybridSort,1038,10
AlmostSorted,10000,HybridSort,745,10
Random,10000,HybridSort,1272,20
Reversed,10000,HybridSort,835,20
AlmostSorted,10000,HybridSort,549,20
Random,10000,HybridSort,1232,30
Reversed,10000,HybridSort,848,30
AlmostSorted,10000,HybridSort,544,30
Random,10000,HybridSort,1289,50
Reversed,10000,HybridSort,1045,50
AlmostSorted,10000,HybridSort,511,50
