ArrayType,Size,Algorithm,TimeMicroseconds,Threshold
Reversed,2600,HybridSort,238,30
AlmostSorted,2600,HybridSort,157,30
Random,2600,HybridSort,325,50
Reversed,2600,HybridSort,313,50
AlmostSorted,2600,HybridSort,141,50
Random,2700,MergeSort,778,0
Reversed,2700,MergeSort,558,0
AlmostSorted,2700,MergeSort,576,0
Random,2700,HybridSort,452,5
Reversed,2700,HybridSort,265,5
AlmostSorted,2700,HybridSort,264,5
Random,2700,HybridSort,400,10
Reversed,2700,HybridSort,245,10
AlmostSorted,2700,HybridSort,235,10
Random,2700,HybridSort,394,20
Reversed,2700,HybridSort,268,20
AlmostSorted,2700,HybridSort,194,20
Random,2700,HybridSort,354,30
Reversed,2700,HybridSort,269,30
AlmostSorted,2700,HybridSort,155,30
Random,2700,HybridSort,347,50
Reversed,2700,HybridSort,333,50
AlmostSorted,2700,HybridSort,122,50
Random,2800,MergeSort,735,0
Reversed,2800,MergeSort,542,0
AlmostSorted,2800,MergeSort,551,0
Random,2800,HybridSort,462,5
Reversed,2800,HybridSort,285,5
AlmostSorted,2800,HybridSort,285,5
Random,2800,HybridSort,423,10
Reversed,2800,HybridSort,275,10
AlmostSorted,2800,HybridSort,254,10
Random,2800,HybridSort,386,20
Reversed,2800,HybridSort,263,20
AlmostSorted,2800,HybridSort,206,20
Random,2800,HybridSort,352,30
Reversed,2800,HybridSort,274,30
AlmostSorted,2800,HybridSort,163,30
Random,2800,HybridSort,357,50
Reversed,2800,HybridSort,347,50
AlmostSorted,2800,HybridSort,131,50
Random,2900,MergeSort,799,0
Reversed,2900,MergeSort,568,0
AlmostSorted,2900,MergeSort,581,0
Random,2900,HybridSort,496,5
Reversed,2900,HybridSort,468,5
AlmostSorted,2900,HybridSort,309,5
Random,2900,HybridSort,448,10
Reversed,2900,HybridSort,265,10
AlmostSorted,2900,HybridSort,252,10
Random,2900,HybridSort,389,20
Reversed,2900,HybridSort,258,20
AlmostSorted,2900,HybridSort,218,20
Random,2900,HybridSort,374,30
Reversed,2900,HybridSort,285,30
AlmostSorted,2900,HybridSort,180,30
Random,2900,HybridSort,379,50
Reversed,2900,HybridSort,348,50
AlmostSorted,2900,HybridSort,131,50
Random,3000,MergeSort,879,0
Reversed,3000,MergeSort,595,0
AlmostSorted,3000,MergeSort,610,0
Random,3000,HybridSort,531,5
Reversed,3000,HybridSort,332,5
AlmostSorted,3000,HybridSort,334,5
Random,3000,HybridSort,512,10
Reversed,3000,HybridSort,323,10
AlmostSorted,3000,HybridSort,305,10
Random,3000,HybridSort,453,20
Reversed,3000,HybridSort,313,20
AlmostSorted,3000,HybridSort,246,20
Random,3000,HybridSort,502,30
Reversed,3000,HybridSort,282,30
AlmostSorted,3000,HybridSort,168,30
Random,3000,HybridSort,389,50
Reversed,3000,HybridSort,357,50
AlmostSorted,3000,HybridSort,137,50
Random,3100,MergeSort,923,0
Reversed,3100,MergeSort,610,0
AlmostSorted,3100,MergeSort,646,0
Random,3100,HybridSort,590,5
Reversed,3100,HybridSort,370,5
AlmostSorted,3100,HybridSort,378,5
Random,3100,HybridSort,514,10
Reversed,3100,HybridSort,334,10
AlmostSorted,3100,HybridSort,288,10
Random,3100,HybridSort,432,20
Reversed,3100,HybridSort,284,20
AlmostSorted,3100,HybridSort,228,20
Random,3100,HybridSort,397,30
Reversed,3100,HybridSort,285,30
AlmostSorted,3100,HybridSort,163,30
Random,3100,HybridSort,389,50
Reversed,3100,HybridSort,359,50
AlmostSorted,3100,HybridSort,133,50
Random,3200,MergeSort,990,0
Reversed,3200,MergeSort,666,0
AlmostSorted,3200,MergeSort,685,0
Random,3200,HybridSort,596,5
Reversed,3200,HybridSort,364,5
AlmostSorted,3200,HybridSort,381,5
Random,3200,HybridSort,481,10
Reversed,3200,HybridSort,276,10
AlmostSorted,3200,HybridSort,257,10
Random,3200,HybridSort,395,20
Reversed,3200,HybridSort,251,20
AlmostSorted,3200,HybridSort,212,20
Random,3200,HybridSort,366,30
Reversed,3200,HybridSort,261,30
AlmostSorted,3200,HybridSort,150,30
Random,3200,HybridSort,356,50
Reversed,3200,HybridSort,332,50
AlmostSorted,3200,HybridSort,134,50
Random,3300,MergeSort,817,0
Reversed,3300,MergeSort,580,0
AlmostSorted,3300,MergeSort,607,0
Random,3300,HybridSort,510,5
Reversed,3300,HybridSort,303,5
AlmostSorted,3300,HybridSort,307,5
Random,3300,HybridSort,424,10
Reversed,3300,HybridSort,251,10
AlmostSorted,3300,HybridSort,261,10
Random,3300,HybridSort,381,20
Reversed,3300,HybridSort,280,20
AlmostSorted,3300,HybridSort,210,20
Random,3300,HybridSort,358,30
Reversed,3300,HybridSort,270,30
AlmostSorted,3300,HybridSort,155,30
Random,3300,HybridSort,360,50
Reversed,3300,HybridSort,303,50
AlmostSorted,3300,HybridSort,180,50
Random,3400,MergeSort,920,0
Reversed,3400,MergeSort,678,0
AlmostSorted,3400,MergeSort,671,0
Random,3400,HybridSort,585,5
Reversed,3400,HybridSort,456,5
AlmostSorted,3400,HybridSort,351,5
Random,3400,HybridSort,477,10
Reversed,3400,HybridSort,292,10
AlmostSorted,3400,HybridSort,260,10
Random,3400,HybridSort,449,20
Reversed,3400,HybridSort,345,20
AlmostSorted,3400,HybridSort,224,20
Random,3400,HybridSort,403,30
Reversed,3400,HybridSort,364,30
AlmostSorted,3400,HybridSort,160,30
Random,3400,HybridSort,378,50
Reversed,3400,HybridSort,288,50
AlmostSorted,3400,HybridSort,159,50
Random,3500,MergeSort,853,0
Reversed,3500,MergeSort,684,0
AlmostSorted,3500,MergeSort,662,0
Random,3500,HybridSort,600,5
Reversed,3500,HybridSort,376,5
AlmostSorted,3500,HybridSort,379,5
Random,3500,HybridSort,489,10
Reversed,3500,HybridSort,303,10
AlmostSorted,3500,HybridSort,293,10
Random,3500,HybridSort,437,20
Reversed,3500,HybridSort,330,20
AlmostSorted,3500,HybridSort,221,20
Random,3500,HybridSort,423,30
Reversed,3500,HybridSort,345,30
AlmostSorted,3500,HybridSort,182,30
Random,3500,HybridSort,404,50
Reversed,3500,HybridSort,346,50
AlmostSorted,3500,HybridSort,201,50
Random,3600,MergeSort,942,0
Reversed,3600,MergeSort,715,0
AlmostSorted,3600,MergeSort,695,0
Random,3600,HybridSort,645,5
Reversed,3600,HybridSort,387,5
AlmostSorted,3600,HybridSort,389,5
Random,3600,HybridSort,507,10
Reversed,3600,HybridSort,306,10
AlmostSorted,3600,HybridSort,360,10
Random,3600,HybridSort,459,20
Reversed,3600,HybridSort,314,20
AlmostSorted,3600,HybridSort,662,20
Random,3600,HybridSort,534,30
Reversed,3600,HybridSort,395,30
AlmostSorted,3600,HybridSort,183,30
Random,3600,HybridSort,415,50
Reversed,3600,HybridSort,320,50
AlmostSorted,3600,HybridSort,187,50
Random,3700,MergeSort,880,0
Reversed,3700,MergeSort,629,0
AlmostSorted,3700,MergeSort,669,0
Random,3700,HybridSort,557,5
Reversed,3700,HybridSort,380,5
AlmostSorted,3700,HybridSort,386,5
Random,3700,HybridSort,532,10
Reversed,3700,HybridSort,332,10
AlmostSorted,3700,HybridSort,300,10
Random,3700,HybridSort,472,20
Reversed,3700,HybridSort,333,20
AlmostSorted,3700,HybridSort,258,20
Random,3700,HybridSort,456,30
Reversed,3700,HybridSort,371,30
AlmostSorted,3700,HybridSort,187,30
Random,3700,HybridSort,444,50
Reversed,3700,HybridSort,389,50
AlmostSorted,3700,HybridSort,203,50
Random,3800,MergeSort,962,0
Reversed,3800,MergeSort,697,0
AlmostSorted,3800,MergeSort,791,0
Random,3800,HybridSort,654,5
Reversed,3800,HybridSort,402,5
AlmostSorted,3800,HybridSort,437,5
Random,3800,HybridSort,566,10
Reversed,3800,HybridSort,323,10
AlmostSorted,3800,HybridSort,319,10
Random,3800,HybridSort,521,20
Reversed,3800,HybridSort,337,20
AlmostSorted,3800,HybridSort,238,20
Random,3800,HybridSort,458,30
Reversed,3800,HybridSort,385,30
AlmostSorted,3800,HybridSort,214,30
Random,3800,HybridSort,488,50
Reversed,3800,HybridSort,368,50
AlmostSorted,3800,HybridSort,208,50
Random,3900,MergeSort,1044,0
Reversed,3900,MergeSort,727,0
AlmostSorted,3900,MergeSort,822,0
Random,3900,HybridSort,657,5
Reversed,3900,HybridSort,408,5
AlmostSorted,3900,HybridSort,380,5
Random,3900,HybridSort,580,10
Reversed,3900,HybridSort,356,10
AlmostSorted,3900,HybridSort,303,10
Random,3900,HybridSort,517,20
Reversed,3900,HybridSort,354,20
AlmostSorted,3900,HybridSort,238,20
Random,3900,HybridSort,513,30
Reversed,3900,HybridSort,375,30
AlmostSorted,3900,HybridSort,232,30
Random,3900,HybridSort,475,50
Reversed,3900,HybridSort,407,50
AlmostSorted,3900,HybridSort,315,50
Random,4000,MergeSort,1030,0
Reversed,4000,MergeSort,738,0
AlmostSorted,4000,MergeSort,738,0
Random,4000,HybridSort,593,5
Reversed,4000,HybridSort,368,5
AlmostSorted,4000,HybridSort,376,5
Random,4000,HybridSort,512,10
Reversed,4000,HybridSort,324,10
AlmostSorted,4000,HybridSort,288,10
Random,4000,HybridSort,478,20
Reversed,4000,HybridSort,319,20
AlmostSorted,4000,HybridSort,248,20
Random,4000,HybridSort,470,30
Reversed,4000,HybridSort,321,30
AlmostSorted,4000,HybridSort,291,30
Random,4000,HybridSort,479,50
Reversed,4000,HybridSort,373,50
AlmostSorted,4000,HybridSort,197,50
Random,4100,MergeSort,999,0
Reversed,4100,MergeSort,761,0
AlmostSorted,4100,MergeSort,823,0
Random,4100,HybridSort,678,5
Reversed,4100,HybridSort,457,5
AlmostSorted,4100,HybridSort,424,5
Random,4100,HybridSort,649,10
Reversed,4100,HybridSort,366,10
AlmostSorted,4100,HybridSort,356,10
Random,4100,HybridSort,561,20
Reversed,4100,HybridSort,378,20
AlmostSorted,4100,HybridSort,268,20
Random,4100,HybridSort,584,30
Reversed,4100,HybridSort,378,30
AlmostSorted,4100,HybridSort,271,30
Random,4100,HybridSort,544,50
Reversed,4100,HybridSort,593,50
AlmostSorted,4100,HybridSort,232,50
Random,4200,MergeSort,1172,0
Reversed,4200,MergeSort,822,0
AlmostSorted,4200,MergeSort,870,0
Random,4200,HybridSort,717,5
Reversed,4200,HybridSort,434,5
AlmostSorted,4200,HybridSort,431,5
Random,4200,HybridSort,614,10
Reversed,4200,HybridSort,394,10
AlmostSorted,4200,HybridSort,367,10
Random,4200,HybridSort,556,20
Reversed,4200,HybridSort,419,20
AlmostSorted,4200,HybridSort,281,20
Random,4200,HybridSort,570,30
Reversed,4200,HybridSort,393,30
AlmostSorted,4200,HybridSort,274,30
Random,4200,HybridSort,540,50
Reversed,4200,HybridSort,510,50
AlmostSorted,4200,HybridSort,220,50
Random,4300,MergeSort,1203,0
Reversed,4300,MergeSort,874,0
AlmostSorted,4300,MergeSort,889,0
Random,4300,HybridSort,874,5
Reversed,4300,HybridSort,451,5
AlmostSorted,4300,HybridSort,462,5
Random,4300,HybridSort,669,10
Reversed,4300,HybridSort,366,10
AlmostSorted,4300,HybridSort,343,10
Random,4300,HybridSort,544,20
Reversed,4300,HybridSort,437,20
AlmostSorted,4300,HybridSort,258,20
Random,4300,HybridSort,509,30
Reversed,4300,HybridSort,361,30
AlmostSorted,4300,HybridSort,249,30
Random,4300,HybridSort,469,50
Reversed,4300,HybridSort,375,50
AlmostSorted,4300,HybridSort,202,50
Random,4400,MergeSort,1003,0
Reversed,4400,MergeSort,722,0
AlmostSorted,4400,MergeSort,767,0
Random,4400,HybridSort,631,5
Reversed,4400,HybridSort,398,5
AlmostSorted,4400,HybridSort,376,5
Random,4400,HybridSort,545,10
Reversed,4400,HybridSort,356,10
AlmostSorted,4400,HybridSort,319,10
Random,4400,HybridSort,530,20
Reversed,4400,HybridSort,394,20
AlmostSorted,4400,HybridSort,278,20
Random,4400,HybridSort,565,30
Reversed,4400,HybridSort,399,30
AlmostSorted,4400,HybridSort,274,30
Random,4400,HybridSort,563,50
Reversed,4400,HybridSort,451,50
AlmostSorted,4400,HybridSort,220,50
Random,4500,MergeSort,1283,0
Reversed,4500,MergeSort,882,0
AlmostSorted,4500,MergeSort,807,0
Random,4500,HybridSort,690,5
Reversed,4500,HybridSort,448,5
AlmostSorted,4500,HybridSort,383,5
Random,4500,HybridSort,575,10
Reversed,4500,HybridSort,352,10
AlmostSorted,4500,HybridSort,316,10
Random,4500,HybridSort,523,20
Reversed,4500,HybridSort,378,20
AlmostSorted,4500,HybridSort,248,20
Random,4500,HybridSort,522,30
Reversed,4500,HybridSort,390,30
AlmostSorted,4500,HybridSort,253,30
Random,4500,HybridSort,506,50
Reversed,4500,HybridSort,432,50
AlmostSorted,4500,HybridSort,215,50
Random,4600,MergeSort,1248,0
Reversed,4600,MergeSort,944,0
AlmostSorted,4600,MergeSort,939,0
Random,4600,HybridSort,777,5
Reversed,4600,HybridSort,459,5
AlmostSorted,4600,HybridSort,444,5
Random,4600,HybridSort,665,10
Reversed,4600,HybridSort,401,10
AlmostSorted,4600,HybridSort,543,10
Random,4600,HybridSort,639,20
Reversed,4600,HybridSort,434,20
AlmostSorted,4600,HybridSort,283,20
Random,4600,HybridSort,596,30
Reversed,4600,HybridSort,684,30
AlmostSorted,4600,HybridSort,450,30
Random,4600,HybridSort,646,50
Reversed,4600,HybridSort,511,50
AlmostSorted,4600,HybridSort,259,50
Random,4700,MergeSort,1215,0
Reversed,4700,MergeSort,1027,0
AlmostSorted,4700,MergeSort,849,0
Random,4700,HybridSort,704,5
Reversed,4700,HybridSort,446,5
AlmostSorted,4700,HybridSort,409,5
Random,4700,HybridSort,590,10
